company_id,company_name,sector,company_size,min_cgpa,allows_backlogs,package_min_lpa,package_max_lpa,bond_years,required_skills,branches_eligible,visit_date,city,work_mode
CMP0001,Mangat LLC,Manufacturing,Enterprise,6.2,0,3.9,6.8,0,Deep Learning|Power BI|Python|Django|Node.js,BCA|CSE,2024-07-05,Delhi,Onsite
CMP0002,Mallick PLC,Consulting,Enterprise,7.8,0,3.1,43.2,0,Cloud AWS|Node.js,BBA|CSE,2025-04-25,Delhi,Hybrid
CMP0003,Chahal-Bhasin,Consulting,SME,5.9,0,4.7,22.1,0,Cloud AWS|Deep Learning|NLP|Python,CSE|MCA|ME|MBA,2024-09-14,Chennai,Remote
CMP0004,Venkatesh PLC,Consulting,SME,5.5,1,3.3,31.1,0,Python|Node.js|Cloud Azure,EEE|CE|BBA|IT,2025-01-04,Noida,Onsite
CMP0005,"Khurana, Mann and More",E-Commerce,Enterprise,5.6,0,4.1,37.7,0,SQL|Cloud Azure|Django|Spring Boot,ME|CE,2025-04-15,Pune,Remote
CMP0006,Nagi-Trivedi,HealthTech,Enterprise,7.1,0,5.1,28.3,0,C++|Node.js|NLP|Tableau|Machine Learning,MBA|BCA|IT,2024-11-10,Mumbai,Hybrid
CMP0007,Grover-Savant,EdTech,Startup,7.8,0,3.7,23.8,0,Python|C++|Node.js|Django,MCA|CE|IT,2024-08-22,Bangalore,Remote
CMP0008,"Peri, Soni and Mukhopadhyay",FinTech,Startup,6.1,0,4.3,14.2,0,React|Java|SQL|Tableau,IT|MBA,2024-08-14,Chennai,Remote
CMP0009,Date-Menon,HealthTech,SME,6.4,1,5.1,40.0,0,Python|Deep Learning|R|Spring Boot|Cloud Azure,CE|BBA|ME|ECE|CSE,2025-04-08,Delhi,Remote
CMP0010,"Bhatti, Sem and Mangat",EdTech,SME,7.1,0,5.4,31.1,0,Tableau|Python|Excel|Deep Learning|Data Analysis,MCA|ECE|CE|CSE|ME,2025-03-14,Hyderabad,Onsite
CMP0011,Nori-Master,EdTech,SME,6.3,0,2.8,7.3,1,Spring Boot|Cloud Azure|Deep Learning,EEE|CE|ME|ECE|MCA|BCA,2025-05-28,Gurgaon,Onsite
CMP0012,"Sane, Nigam and Raval",Manufacturing,MNC,7.7,1,3.2,27.3,0,Excel|Machine Learning|Python,IT|MCA|CSE|MBA|ME|CE,2024-12-12,Gurgaon,Hybrid
CMP0013,Barman-Sahni,E-Commerce,SME,6.6,0,4.5,23.2,2,Cloud AWS|Django|Java|Excel|Deep Learning,IT|CSE|CE|BCA|MCA|BBA,2024-08-25,Pune,Hybrid
CMP0014,"Bakshi, Doctor and Salvi",Consulting,SME,6.0,0,3.8,32.3,0,Django|Node.js|Power BI|C++,EEE|MBA|ECE|ME|MCA,2025-06-28,Pune,Remote
CMP0015,Dhingra PLC,Finance,Startup,7.6,1,3.8,20.1,1,Spring Boot|Cloud Azure|Python,CSE|MCA|ME|ECE,2024-08-19,Mumbai,Hybrid
CMP0016,Edwin PLC,Consulting,MNC,6.7,1,4.3,23.1,0,Java|Python,CSE|BBA|EEE,2024-12-22,Bangalore,Remote
CMP0017,Sundaram-Suresh,Manufacturing,MNC,7.9,0,3.1,21.3,0,Deep Learning|Node.js|Excel|Tableau,CSE|ECE,2025-05-08,Pune,Remote
CMP0018,Sunder LLC,EdTech,MNC,7.3,1,4.3,17.5,1,React|Power BI,CSE|IT|BCA|MCA|ME,2025-04-12,Gurgaon,Onsite
CMP0019,"Dugar, Muni and Dutt",Finance,Enterprise,7.2,0,3.4,6.1,2,Cloud Azure|Django|Machine Learning|Cloud AWS|R,MCA|ME|EEE|CSE|BBA|IT,2024-10-10,Bangalore,Onsite
CMP0020,"Baria, Dugar and Khare",IT,Enterprise,7.6,1,5.0,7.2,0,Deep Learning|Tableau|NLP|Cloud Azure|Machine Learning,MBA|EEE|ECE|ME,2025-03-08,Pune,Remote
CMP0021,"Tripathi, Kanda and Goswami",E-Commerce,MNC,5.8,0,5.9,18.9,0,Java|Python|Data Analysis|Django,EEE|ME|CE|CSE|IT|BBA,2024-10-28,Chennai,Onsite
CMP0022,Manda Ltd,Consulting,Enterprise,7.8,0,3.7,41.7,0,SQL|Node.js|Data Analysis|Java|Power BI,IT|BCA|ECE|CE,2024-09-30,Gurgaon,Onsite
CMP0023,Krishna PLC,IT,SME,5.7,1,5.1,9.4,2,Tableau|R|Spring Boot,BCA|MCA|ME|CE|MBA|ECE,2024-12-16,Mumbai,Onsite
CMP0024,Prasad Ltd,Consulting,Enterprise,6.6,0,2.5,39.5,1,Cloud Azure|Python|React|Node.js|Data Analysis,ME|BBA|ECE|MBA|CSE,2025-02-18,Delhi,Hybrid
CMP0025,Krishnamurthy-Barman,Manufacturing,Startup,6.1,0,4.9,29.9,0,SQL|Power BI|NLP,IT|BCA,2025-02-06,Delhi,Hybrid
CMP0026,Ganesh-Ratti,HealthTech,SME,6.0,1,2.9,12.4,0,React|Machine Learning|Django|Tableau,MCA|ME|MBA|CE|ECE,2024-12-23,Delhi,Hybrid
CMP0027,Chaudry-Aggarwal,Manufacturing,MNC,7.1,0,3.3,11.0,0,NLP|Python|Data Analysis,IT|CE,2024-12-04,Pune,Hybrid
CMP0028,Yogi Group,EdTech,Startup,7.2,0,5.8,20.5,0,NLP|Deep Learning|R,BCA|BBA|CSE,2025-05-31,Hyderabad,Remote
CMP0029,Sinha-Chand,Consulting,Enterprise,5.5,0,4.8,33.4,0,NLP|React,MBA|BCA|MCA|CE|IT|BBA,2024-12-24,Bangalore,Onsite
CMP0030,Desai-Soni,Finance,Enterprise,6.5,1,2.7,40.4,1,Tableau|Java|Power BI|Cloud Azure|Machine Learning,MBA|CE|EEE|ECE|BCA,2025-06-03,Mumbai,Remote
CMP0031,Chander-Deshmukh,EdTech,Enterprise,7.0,1,4.1,9.1,2,Spring Boot|Power BI|Excel|Machine Learning|Data Analysis,CE|IT|BBA|CSE,2024-07-15,Hyderabad,Hybrid
CMP0032,Karan-Patla,FinTech,Enterprise,6.6,1,5.3,42.7,0,Django|SQL,MCA|ECE|BBA,2025-06-22,Pune,Hybrid
CMP0033,Khalsa and Sons,IT,Startup,5.7,1,3.8,42.0,1,C++|SQL|Python,ME|BCA|CE|ECE|EEE|BBA,2025-05-28,Hyderabad,Remote
